Port_Code,Country-Code,Route-Code
FI HKO,FI ,EU
MZ MPM,MZ ,AF
CN TAO,CN ,AS
GB GSY,GB ,EU
KN BAS,KN ,
PT LIS,PT ,EU
DM POR,DM ,
PH BAU,PH ,AS
CL ARI,CL ,SA
CN ZOS,CN ,AS
BJ COO,BJ ,AF
US BPT,US ,
VN HPH,VN ,AS
MU PLU,MU ,AF
AR DSU,AR,SA
AN PHI,AN ,
GB TIL,GB,EU
AG SJO,AG ,
AN WIL,AN ,
AO LAD,AO ,AF
AS PPG,AS ,OC
AW ORJ,AW ,
BB BGI,BB ,
BJ COO,BJ ,AF
BS NAS,BS ,
CG PNR,CG ,AF
CI ABJ,CI ,AF
CM DLA,CM ,AF
DK EBJ,DK ,EU
DM POR,DM ,
DO SDQ,DO ,
DZ DJE,DZ ,AF
EU ESA,EU ,EU
FI HKO,FI ,EU
FJ LTK,FJ ,OC
FJ SUV,FJ ,OC
GA LBV,GA ,AF
GD STG,GD ,
GH TEM,GH ,AF
GH TKD,GH ,AF
GM BJL,GM ,AF
GN CKY,GN ,AF
GQ SSG,GQ ,AF
GQ BSG,GQ ,AF
GY QSK,GY ,
HN SLO,HN ,
HN PCR,HN ,
HT PAP,HT ,
KN BAS,KN ,
LK HBA,LK ,AS
LR MLW,LR ,AF
LY MRA,LY ,AF
MQ FDF,MQ ,
MR NKC,MR ,AF
MU PLU,MU ,AF
MZ MPM,MZ ,AF
NA WVB,NA ,AF
NG WAR,NG ,AF
NG LOS,NG ,AF
NI SJS,NI ,
NI CIO,NI ,
NO DRM,NO ,EU
PA PCN,PA ,
PF PPT,PF ,OC
PG POM,PG ,OC
PH BAU,PH ,AS
PL GDN,PL ,EU
PT SET,PT ,EU
PT LEI,PT ,EU
PT LIS,PT ,EU
RED SE,RED,NN
RU LED,RU ,EU
SH ASI,SH ,AF
SL FNA,SL ,AF
SR PBM,SR ,
SV AQJ,SV ,
TG LFW,TG ,AF
TO TBU,TO ,OC
TT POS,TT ,
VE MAR,VE ,
VN SGN,VN ,AS
VN HPH,VN ,AS
WS APW,WS ,OC
US PEF,US ,
SA YNB,SA ,AS
DM RSU,DM ,
VC KTN,VC,
LC SLU,LC,
EG SUG,EG,AS
AU TSV,AU ,OC
DJ JIB,DJ,EU
BH KBS,BH,AS
KR MOK,KR,AS
