Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,66 A,Davisville,US DVV,21/7/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,36 A,Barcelona,ES BCN,10/5/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,64 A,Barcelona,ES BCN,13/6/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,56 A,Barcelona,ES BCN,16/7/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,50 A,Southampton,GB SOU,1/5/2021,
K-LINE,EU-NA,OLYMPIAN HIGHWAY,150  ,5.80  ,43 A,Southampton,GB SOU,17/5/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,36 A,Southampton,GB SOU,15/5/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,10 A,Southampton,GB SOU,20/5/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,65 A,Southampton,GB SOU,26/5/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,54 A,Southampton,GB SOU,5/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,51 A,Southampton,GB SOU,6/6/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,64 A,Southampton,GB SOU,18/6/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,11 A,Southampton,GB SOU,16/6/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,38 A,Southampton,GB SOU,30/6/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,66 A,Southampton,GB SOU,27/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,52 A,Southampton,GB SOU,6/7/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,4 A,Southampton,GB SOU,16/7/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,56 A,Southampton,GB SOU,21/7/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,12 A,Southampton,GB SOU,20/7/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,66 A,Southampton,GB SOU,31/7/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,67 A,Southampton,GB SOU,27/7/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,50 A,Bremerhaven,DE BRV,7/5/2021,
K-LINE,EU-NA,OLYMPIAN HIGHWAY,150  ,5.80  ,43 A,Bremerhaven,DE BRV,11/5/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,36 A,Bremerhaven,DE BRV,18/5/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,10 A,Bremerhaven,DE BRV,13/5/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,65 A,Bremerhaven,DE BRV,28/5/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,54 A,Bremerhaven,DE BRV,7/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,51 A,Bremerhaven,DE BRV,8/6/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,64 A,Bremerhaven,DE BRV,20/6/2021,
K-LINE,EU-NA,OLYMPIAN HIGHWAY,150  ,5.80  ,44 A,Bremerhaven,DE BRV,14/6/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,11 A,Bremerhaven,DE BRV,18/6/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,38 A,Bremerhaven,DE BRV,2/7/2021,
