Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
ACLCARGO,EU-NA,ATLANTIC STAR,NA,NA,AST9222,Liverpool,GB LIV,2022/06/23,
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9422,Liverpool,GB LIV,2022/06/29,
ACLCARGO,EU-NA,ATLANTIC SKY,NA,NA,ATK9022,Liverpool,GB LIV,2022/07/03,
ACLCARGO,EU-NA,ATLANTIC SEA,NA,NA,ATE9122,Liverpool,GB LIV,2022/07/10,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8722,Liverpool,GB LIV,2022/07/19,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8422,New York,US NYC,2022/05/27,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9122,New York,US NYC,2022/06/01,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9322,New York,US NYC,2022/06/07,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK8922,New York,US NYC,2022/06/10,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE9022,New York,US NYC,2022/06/15,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8622,New York,US NYC,2022/06/25,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9322,New York,US NYC,2022/07/02,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9522,New York,US NYC,2022/07/08,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK9122,New York,US NYC,2022/07/13,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9122,Norfolk,US HNV,2022/06/05,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9322,Norfolk,US HNV,2022/06/11,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK8922,Norfolk,US HNV,2022/06/14,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE9022,Norfolk,US HNV,2022/06/19,
