Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Mersin, Turkey",,27/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,Israel,IL,22/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Aqaba, Jordan",JO AQJ,16/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Jeddah, Saudi Arabia",SA JED,20/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Sohar, Oman",,30/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Jebel Ali, UAE",,28/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Abu Dhabi, UAE",,07/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Hamad, Qatar",,29/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Bahrain, Bahrain",BH KBS,07/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Dammam, Saudi Arabia",SA DMN,31/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Shuaiba, Kuwait",,01/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Shuwaikh, Kuwait",KW SWK,07/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Karachi, Pakistan",PK KHI,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Umm Qasr, Iraq",IQ UQR,04/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Freeport, TX",BS FPO,15/7/2022,08/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Jacksonville, FL",US JAX,21/7/2022,14/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Baltimore, MD",US BAL,24/7/2022,18/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Wilmington, DE",US ILM,25/7/2022,18/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Livorno, Italy",IT LIV,05/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,Thessaloniki,GR SKG,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Alexandria, Egypt",EG EDK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Beirut, Lebanon",LB BEY,09/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Mersin, Turkey",,25/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,Israel,IL,19/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Aqaba, Jordan",JO AQJ,13/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Jeddah, Saudi Arabia",SA JED,15/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Sohar, Oman",,25/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Jebel Ali, UAE",,23/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Abu Dhabi, UAE",,02/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Hamad, Qatar",,02/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Bahrain, Bahrain",BH KBS,02/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Dammam, Saudi Arabia",SA DMN,25/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Shuaiba, Kuwait",,27/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Shuwaikh, Kuwait",KW SWK,02/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Karachi, Pakistan",PK KHI,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 104,"Umm Qasr, Iraq",IQ UQR,30/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Freeport, TX",BS FPO,25/7/2022,18/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Jacksonville, FL",US JAX,01/8/2022,25/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Baltimore, MD",US BAL,,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Wilmington, DE",US ILM,05/8/2022,29/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Livorno, Italy",IT LIV,,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,Thessaloniki,GR SKG,,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Alexandria, Egypt",EG EDK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Beirut, Lebanon",LB BEY,20/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Mersin, Turkey",,05/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,Israel,IL,29/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Aqaba, Jordan",JO AQJ,23/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Jeddah, Saudi Arabia",SA JED,26/8/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Sohar, Oman",,05/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Jebel Ali, UAE",,03/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Abu Dhabi, UAE",,13/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Hamad, Qatar",,13/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Bahrain, Bahrain",BH KBS,13/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Dammam, Saudi Arabia",SA DMN,04/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Shuaiba, Kuwait",,06/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Shuwaikh, Kuwait",KW SWK,13/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Karachi, Pakistan",PK KHI,,
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,, 42,"Umm Qasr, Iraq",IQ UQR,10/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Freeport, TX",BS FPO,08/9/2022,01/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Jacksonville, FL",US JAX,14/9/2022,07/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Baltimore, MD",US BAL,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Wilmington, DE",US ILM,18/9/2022,12/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Livorno, Italy",IT LIV,30/9/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,Thessaloniki,GR SKG,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Alexandria, Egypt",EG EDK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Beirut, Lebanon",LB BEY,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Mersin, Turkey",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,Israel,IL,13/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Aqaba, Jordan",JO AQJ,07/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Jeddah, Saudi Arabia",SA JED,09/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Sohar, Oman",,19/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Jebel Ali, UAE",,17/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Abu Dhabi, UAE",,27/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Hamad, Qatar",,27/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Bahrain, Bahrain",BH KBS,27/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Dammam, Saudi Arabia",SA DMN,19/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Shuaiba, Kuwait",,20/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Shuwaikh, Kuwait",KW SWK,27/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Karachi, Pakistan",PK KHI,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 98,"Umm Qasr, Iraq",IQ UQR,24/10/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Kwangyang, Korea",,21/4/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Pyeongtaek, Korea",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Masan, Korea",KR MAS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Inchon, Korea",KR INC,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Mokpo, Korea",KR MOK,20/4/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Ulsan, Korea",KR USN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,Busan (Commercial),KR PUS,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,Singapore,SG SIN,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Yokohama, Japan",JP YOK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Higashi Harima, Japan",,22/4/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 95,"Port Hueneme, CA",,,
